Time Step,True_pos_y,Predicted_pos_y,Absolute_Error
41,0.2167198657989502,0.21834976971149445,0.0016299039125442505
42,0.21655438840389252,0.2174711972475052,0.0009168088436126709
43,0.21585716307163239,0.21755407750606537,0.0016969144344329834
44,0.21569210290908813,0.21646343171596527,0.0007713288068771362
45,0.21488846838474274,0.21647457778453827,0.0015861093997955322
46,0.21464906632900238,0.21568691730499268,0.0010378509759902954
47,0.21391919255256653,0.21539364755153656,0.0014744549989700317
48,0.21427160501480103,0.21453678607940674,0.0002651810646057129
49,0.21345297992229462,0.214994877576828,0.0015418976545333862
50,0.21334309875965118,0.21453487873077393,0.0011917799711227417
51,0.21223747730255127,0.21411092579364777,0.0018734484910964966
52,0.2118852138519287,0.21346426010131836,0.0015790462493896484
53,0.21154063940048218,0.21243976056575775,0.0008991211652755737
54,0.21131017804145813,0.21251705288887024,0.0012068748474121094
55,0.2105853408575058,0.2118861973285675,0.0013008564710617065
56,0.2106412649154663,0.2111290991306305,0.00048783421516418457
57,0.20982663333415985,0.21113653481006622,0.001309901475906372
58,0.20980145037174225,0.21013569831848145,0.0003342479467391968
59,0.2092810720205307,0.2098432183265686,0.0005621463060379028
60,0.20917020738124847,0.20934338867664337,0.00017318129539489746
61,0.20843283832073212,0.20881454646587372,0.00038170814514160156
62,0.2079671025276184,0.2081504911184311,0.0001833885908126831
63,0.20777684450149536,0.20761191844940186,0.00016492605209350586
64,0.2073841392993927,0.2072790116071701,0.00010512769222259521
65,0.20705273747444153,0.2069651037454605,8.763372898101807e-05
66,0.20673134922981262,0.20670612156391144,2.5227665901184082e-05
67,0.20656707882881165,0.20638976991176605,0.00017730891704559326
68,0.20660604536533356,0.2063078135251999,0.000298231840133667
69,0.20662006735801697,0.2065441757440567,7.589161396026611e-05
70,0.20649376511573792,0.20675209164619446,0.00025832653045654297
71,0.20577237010002136,0.20666316151618958,0.0008907914161682129
72,0.2053782343864441,0.20592239499092102,0.0005441606044769287
73,0.20495770871639252,0.20545978844165802,0.0005020797252655029
74,0.20497824251651764,0.20494651794433594,3.172457218170166e-05
75,0.2045564353466034,0.20485039055347443,0.0002939552068710327
76,0.20409968495368958,0.2042902559041977,0.00019057095050811768
77,0.20360355079174042,0.20374169945716858,0.00013814866542816162
78,0.20349092781543732,0.20328877866268158,0.0002021491527557373
79,0.20295506715774536,0.20314693450927734,0.00019186735153198242
80,0.20282165706157684,0.20245148241519928,0.0003701746463775635
81,0.20213621854782104,0.20231346786022186,0.00017724931240081787
82,0.20183749496936798,0.20174014568328857,9.734928607940674e-05
83,0.20110489428043365,0.20162834227085114,0.0005234479904174805
84,0.20099782943725586,0.2006484866142273,0.00034934282302856445
85,0.20022989809513092,0.2011212259531021,0.0008913278579711914
86,0.19959385693073273,0.2000083029270172,0.00041444599628448486
87,0.19925861060619354,0.19980859756469727,0.0005499869585037231
88,0.19868981838226318,0.1993730515241623,0.0006832331418991089
89,0.19805607199668884,0.19851315021514893,0.000457078218460083
90,0.19778762757778168,0.19855768978595734,0.0007700622081756592
91,0.19668877124786377,0.19826360046863556,0.0015748292207717896
92,0.19606584310531616,0.1966010183095932,0.0005351752042770386
93,0.19524729251861572,0.1960480660200119,0.0008007735013961792
94,0.1947447657585144,0.19525235891342163,0.0005075931549072266
95,0.19404374063014984,0.1949315071105957,0.0008877664804458618
96,0.19355088472366333,0.1942235827445984,0.0006726980209350586
97,0.19269602000713348,0.1935170441865921,0.0008210241794586182
98,0.19205743074417114,0.1925411969423294,0.00048376619815826416
99,0.19126486778259277,0.19194826483726501,0.0006833970546722412
100,0.18996484577655792,0.19101504981517792,0.0010502040386199951
101,0.18920131027698517,0.19001241028308868,0.0008111000061035156
102,0.18863458931446075,0.1892719566822052,0.0006373673677444458
103,0.1879758983850479,0.1883164793252945,0.00034058094024658203
104,0.18693245947360992,0.18745921552181244,0.0005267560482025146
