Time Step,True_pos_x,Predicted_pos_x,Absolute_Error
44,-0.09837699681520462,-0.09677258878946304,0.0016044080257415771
45,-0.09229569137096405,-0.09124895930290222,0.0010467320680618286
46,-0.08199753612279892,-0.08589472621679306,0.0038971900939941406
47,-0.07720796763896942,-0.07623016834259033,0.0009777992963790894
48,-0.07247017323970795,-0.07150835543870926,0.0009618178009986877
49,-0.06661180406808853,-0.06652874499559402,8.305907249450684e-05
50,-0.06312093138694763,-0.06086760386824608,0.0022533275187015533
51,-0.05541958659887314,-0.057743944227695465,0.0023243576288223267
52,-0.05348636582493782,-0.050629712641239166,0.002856653183698654
53,-0.05023470148444176,-0.048869214951992035,0.0013654865324497223
54,-0.047750074416399,-0.04553654417395592,0.0022135302424430847
55,-0.04566869139671326,-0.04371656849980354,0.0019521228969097137
56,-0.04356665536761284,-0.04165687412023544,0.0019097812473773956
57,-0.04186612367630005,-0.04004634916782379,0.0018197745084762573
58,-0.040883708745241165,-0.03918404504656792,0.0016996636986732483
59,-0.038452763110399246,-0.038598377257585526,0.0001456141471862793
60,-0.03903540223836899,-0.03719157353043556,0.001843828707933426
61,-0.03686361759901047,-0.03761463239789009,0.0007510147988796234
62,-0.03646441176533699,-0.03597564250230789,0.0004887692630290985
63,-0.0371398963034153,-0.03598969429731369,0.0011502020061016083
64,-0.0367610827088356,-0.036307260394096375,0.0004538223147392273
65,-0.035655707120895386,-0.03581668809056282,0.0001609809696674347
66,-0.03654859960079193,-0.03517558053135872,0.0013730190694332123
67,-0.036583319306373596,-0.03567422553896904,0.0009090937674045563
68,-0.03734659403562546,-0.035674162209033966,0.0016724318265914917
69,-0.03683965653181076,-0.03631691262125969,0.0005227439105510712
70,-0.03712652623653412,-0.03615623712539673,0.0009702891111373901
71,-0.038481827825307846,-0.03677471727132797,0.0017071105539798737
72,-0.039337631314992905,-0.03816903382539749,0.0011685974895954132
73,-0.03927497938275337,-0.03939194604754448,0.00011696666479110718
74,-0.03987512364983559,-0.03970927372574806,0.00016584992408752441
75,-0.04087154567241669,-0.04055401682853699,0.0003175288438796997
76,-0.04230135679244995,-0.04167463630437851,0.0006267204880714417
77,-0.04327448457479477,-0.043487176299095154,0.00021269172430038452
78,-0.04424313083291054,-0.04518042877316475,0.0009372979402542114
79,-0.04637724161148071,-0.04647975042462349,0.00010250881314277649
80,-0.04807276278734207,-0.048535317182540894,0.000462554395198822
81,-0.05099870637059212,-0.05033170059323311,0.0006670057773590088
82,-0.05365152284502983,-0.05361291021108627,3.861263394355774e-05
83,-0.05636889860033989,-0.056858282536268234,0.0004893839359283447
84,-0.058024853467941284,-0.059341344982385635,0.0013164915144443512
85,-0.061749350279569626,-0.062002088874578476,0.0002527385950088501
86,-0.06483028829097748,-0.06537013500928879,0.0005398467183113098
87,-0.06774719059467316,-0.06898718327283859,0.0012399926781654358
88,-0.07181645929813385,-0.07190269976854324,8.624047040939331e-05
89,-0.0761064663529396,-0.07584037631750107,0.0002660900354385376
90,-0.07918821275234222,-0.08106306940317154,0.0018748566508293152
91,-0.08964788913726807,-0.08443968743085861,0.005208201706409454
92,-0.09527035057544708,-0.09487797319889069,0.0003923773765563965
93,-0.10116039961576462,-0.10035397857427597,0.0008064210414886475
94,-0.10688838362693787,-0.10627175122499466,0.0006166324019432068
95,-0.11257345229387283,-0.11301298439502716,0.0004395321011543274
96,-0.1251615285873413,-0.1194271445274353,0.005734384059906006
97,-0.1322856843471527,-0.13224291801452637,4.2766332626342773e-05
98,-0.13930712640285492,-0.13936126232147217,5.4135918617248535e-05
99,-0.14723648130893707,-0.14681021869182587,0.00042626261711120605
