Time Step,True pos_x,Predicted pos_x,Error
197,-0.69,-0.68654317,-0.003456831
198,-0.69,-0.687727,-0.0022730231
199,-0.68,-0.6877934,0.007793367
200,-0.68,-0.67726195,-0.0027380586
201,-0.68,-0.6775627,-0.0024372935
202,-0.67,-0.6777814,0.0077813864
203,-0.67,-0.66747177,-0.0025282502
204,-0.67,-0.66662717,-0.003372848
205,-0.66,-0.6654896,0.005489588
206,-0.66,-0.6544354,-0.00556463
207,-0.65,-0.6532765,0.003276527
208,-0.64,-0.64207,0.0020700097
209,-0.64,-0.6310165,-0.008983493
210,-0.62,-0.6300932,0.010093212
211,-0.61,-0.60881495,-0.0011850595
212,-0.6,-0.5973572,-0.0026428103
213,-0.58,-0.5861025,0.0061025023
214,-0.57,-0.56518406,-0.004815936
215,-0.56,-0.55425155,-0.0057484508
216,-0.54,-0.54326755,0.0032675266
217,-0.53,-0.52232015,-0.00767982
218,-0.5,-0.5114414,0.01144141
219,-0.47,-0.4804542,0.010454208
220,-0.45,-0.44936967,-0.0006303191
221,-0.42,-0.42835328,0.008353293
222,-0.4,-0.3965846,-0.0034154058
223,-0.38,-0.37657675,-0.0034232438
224,-0.38,-0.35541865,-0.024581343
225,-0.38,-0.35442445,-0.025575548
226,-0.3,-0.35347554,0.05347553
227,-0.28,-0.2709576,-0.009042412
228,-0.25,-0.24867755,-0.0013224483
229,-0.23,-0.21675245,-0.0132475495
230,-0.2,-0.1955864,-0.0044136047
231,-0.17,-0.16486524,-0.0051347613
232,-0.15,-0.13468437,-0.015315637
233,-0.12,-0.1146982,-0.005301796
234,-0.09,-0.086043596,-0.0039564073
235,-0.05,-0.060435634,0.010435633
236,-0.02,-0.022633106,0.002633106
237,0.0,0.0077622514,-0.0077622514
238,0.03,0.028263815,0.0017361846
239,0.06,0.06652506,-0.0065250583
240,0.08,0.09711986,-0.017119862
241,0.1,0.11395848,-0.0139584765
242,0.13,0.13324729,-0.0032472908
243,0.16,0.163777,-0.0037769973
244,0.2,0.19316949,0.0068305135
245,0.23,0.2339772,-0.0039771944
246,0.25,0.2646191,-0.014619112
247,0.28,0.26922846,0.010771543
248,0.3,0.2739401,0.026059926
249,0.33,0.28800255,0.041997463
250,0.36,0.35579604,0.004203975
251,0.39,0.37583435,0.01416564
252,0.41,0.41444793,-0.004447937
253,0.45,0.43648857,0.013511419
254,0.48,0.48741323,-0.0074132383
255,0.51,0.5192122,-0.009212196
256,0.53,0.54540044,-0.015400469
257,0.56,0.5616284,-0.0016283989
258,0.58,0.5907258,-0.010725796
259,0.61,0.6116253,-0.0016252995
260,0.63,0.64128745,-0.011287451
261,0.68,0.6608935,0.019106507
262,0.7,0.71018606,-0.010186076
263,0.72,0.7293882,-0.009388149
264,0.74,0.74855685,-0.008556843
265,0.77,0.767564,0.0024359822
266,0.79,0.7967047,-0.006704688
267,0.81,0.8158253,-0.005825281
268,0.83,0.83510715,-0.0051071644
