Time Step,True pos_y,Predicted pos_y,Error
312,0.18,0.1799383,6.170571e-05
313,0.18,0.17993364,6.636977e-05
314,0.18,0.1799928,7.212162e-06
315,0.18,0.18007319,-7.31796e-05
316,0.18,0.18010142,-0.0001014173
317,0.18,0.18005319,-5.3182244e-05
318,0.18,0.18001916,-1.9147992e-05
319,0.18,0.17999677,3.233552e-06
320,0.18,0.17999008,9.924173e-06
321,0.18,0.17999429,5.722046e-06
322,0.18,0.17997956,2.0444393e-05
323,0.18,0.17998958,1.0430813e-05
324,0.18,0.17998976,1.0251999e-05
325,0.18,0.18000841,-8.404255e-06
326,0.18,0.18002877,-2.8759241e-05
327,0.18,0.1800428,-4.2796135e-05
328,0.18,0.18004811,-4.810095e-05
329,0.18,0.18004543,-4.541874e-05
330,0.18,0.180051,-5.0991774e-05
331,0.18,0.18004915,-4.914403e-05
332,0.18,0.18004438,-4.4375658e-05
333,0.18,0.18004112,-4.1112304e-05
334,0.18,0.18004064,-4.0635467e-05
335,0.18,0.18004215,-4.2140484e-05
336,0.18,0.18004492,-4.49121e-05
337,0.18,0.18001744,-1.7434359e-05
338,0.18,0.1800514,-5.1394105e-05
339,0.18,0.18003657,-3.656745e-05
340,0.18,0.18004058,-4.0575862e-05
341,0.18,0.18005022,-5.0216913e-05
342,0.18,0.18005602,-5.6013465e-05
343,0.18,0.18005571,-5.570054e-05
344,0.18,0.18005191,-5.1900744e-05
345,0.18,0.18004669,-4.6685338e-05
346,0.18,0.18004385,-4.3839216e-05
347,0.18,0.18004464,-4.4628978e-05
348,0.18,0.18004832,-4.8309565e-05
349,0.18,0.18005192,-5.1915646e-05
350,0.18,0.18005434,-5.4329634e-05
351,0.18,0.18005413,-5.4121017e-05
352,0.18,0.18005386,-5.3852797e-05
353,0.18,0.18005623,-5.622208e-05
354,0.18,0.18006003,-6.0021877e-05
355,0.18,0.18006538,-6.5371394e-05
356,0.18,0.18007256,-7.2553754e-05
357,0.18,0.18008007,-8.006394e-05
358,0.18,0.18008955,-8.954108e-05
359,0.18,0.18010117,-0.00010116398
360,0.18,0.18011487,-0.00011485815
361,0.18,0.1801298,-0.00012978911
362,0.18,0.18014279,-0.00014278293
363,0.18,0.18015629,-0.00015628338
364,0.18,0.18015927,-0.00015926361
365,0.18,0.1801514,-0.0001513958
366,0.18,0.18012203,-0.00012202561
367,0.18,0.18005852,-5.851686e-05
368,0.18,0.1799272,7.280707e-05
369,0.18,0.17961471,0.00038529932
370,0.18,0.1784795,0.0015205145
371,0.18,0.17619716,0.0038028508
372,0.17,0.17338055,-0.003380552
373,0.17,0.17024039,-0.00024038553
374,0.17,0.1701079,-0.00010789931
375,0.17,0.16999643,3.5762787e-06
376,0.17,0.1700849,-8.4891915e-05
377,0.17,0.17009568,-9.5680356e-05
378,0.17,0.1700472,-4.7191978e-05
379,0.17,0.17000726,-7.2568655e-06
380,0.17,0.17001113,-1.1131167e-05
381,0.17,0.17003861,-3.860891e-05
382,0.17,0.17007408,-7.407367e-05
383,0.17,0.17005932,-5.9321523e-05
384,0.17,0.17004687,-4.6864152e-05
385,0.17,0.17002292,-2.2917986e-05
386,0.17,0.17002149,-2.1487474e-05
387,0.17,0.17005675,-5.6743622e-05
388,0.17,0.1700776,-7.760525e-05
389,0.17,0.1700756,-7.559359e-05
390,0.17,0.17005923,-5.9232116e-05
391,0.17,0.17003594,-3.59416e-05
392,0.17,0.17003101,-3.1009316e-05
393,0.17,0.17002544,-2.5436282e-05
394,0.17,0.17002656,-2.655387e-05
395,0.17,0.17003387,-3.387034e-05
396,0.17,0.17002977,-2.977252e-05
397,0.17,0.17001855,-1.8551946e-05
398,0.17,0.1700174,-1.7404556e-05
399,0.17,0.17002101,-2.1010637e-05
400,0.17,0.17001379,-1.3783574e-05
401,0.17,0.17000647,-6.467104e-06
402,0.17,0.16999805,1.9520521e-06
403,0.17,0.16999257,7.4356794e-06
404,0.17,0.16998298,1.7017126e-05
405,0.17,0.16997458,2.5421381e-05
406,0.17,0.16997328,2.6717782e-05
407,0.17,0.16998544,1.45584345e-05
408,0.17,0.1699972,2.8014183e-06
409,0.17,0.1700024,-2.399087e-06
410,0.17,0.16999914,8.6426735e-07
411,0.17,0.16999127,8.7320805e-06
412,0.17,0.1699871,1.2904406e-05
413,0.17,0.17001203,-1.2025237e-05
414,0.17,0.17001194,-1.193583e-05
415,0.17,0.1700036,-3.5911798e-06
416,0.17,0.17004219,-4.2185187e-05
417,0.17,0.1700674,-6.739795e-05
418,0.17,0.17007156,-7.1555376e-05
419,0.17,0.17006762,-6.762147e-05
420,0.17,0.17005248,-5.248189e-05
421,0.17,0.1700383,-3.8295984e-05
422,0.17,0.17002822,-2.82228e-05
423,0.17,0.17002669,-2.668798e-05
424,0.17,0.17003207,-3.20673e-05
425,0.17,0.1700079,-7.897615e-06
426,0.17,0.17001665,-1.6644597e-05
427,0.17,0.17001125,-1.1250377e-05
428,0.17,0.17002171,-2.1710992e-05
429,0.17,0.17000398,-3.97861e-06
430,0.17,0.1700431,-4.3094158e-05
431,0.17,0.17004187,-4.1872263e-05
432,0.17,0.17004552,-4.5523047e-05
433,0.17,0.17003658,-3.658235e-05
434,0.17,0.17003009,-3.0085444e-05
435,0.17,0.1700213,-2.129376e-05
436,0.17,0.170012,-1.1995435e-05
437,0.17,0.17000186,-1.8626451e-06
438,0.17,0.16999291,7.0929527e-06
439,0.17,0.16998377,1.6227365e-05
440,0.17,0.1699804,1.9595027e-05
441,0.17,0.16997615,2.3856759e-05
442,0.17,0.16997924,2.0757318e-05
443,0.17,0.16999003,9.968877e-06
444,0.17,0.16996457,3.543496e-05
445,0.17,0.1699575,4.249811e-05
446,0.17,0.1699491,5.0902367e-05
447,0.17,0.16996384,3.616512e-05
448,0.17,0.1699692,3.08007e-05
449,0.17,0.16997917,2.0831823e-05
450,0.17,0.16998714,1.2859702e-05
451,0.17,0.16998772,1.2278557e-05
452,0.17,0.16997975,2.0250678e-05
453,0.17,0.16996674,3.325939e-05
454,0.17,0.16995646,4.3541193e-05
455,0.17,0.16995817,4.182756e-05
456,0.17,0.16996065,3.9353967e-05
457,0.17,0.1699632,3.6805868e-05
458,0.17,0.16996536,3.46452e-05
459,0.17,0.16996416,3.5837293e-05
460,0.17,0.16997346,2.6538968e-05
461,0.17,0.16998333,1.66744e-05
462,0.17,0.16999553,4.4703484e-06
463,0.17,0.17000072,-7.1525574e-07
464,0.17,0.1700203,-2.0295382e-05
465,0.17,0.17005055,-5.054474e-05
466,0.17,0.17007095,-7.094443e-05
467,0.17,0.17008832,-8.831918e-05
468,0.18,0.17018522,0.009814784
469,0.18,0.17941235,0.0005876571
470,0.18,0.17969657,0.00030343235
471,0.18,0.17980765,0.00019235909
472,0.18,0.18007223,-7.222593e-05
473,0.18,0.18017209,-0.00017207861
474,0.18,0.18008375,-8.3744526e-05
475,0.18,0.17997022,2.9787421e-05
476,0.18,0.17999163,8.374453e-06
477,0.18,0.18004246,-4.245341e-05
478,0.18,0.18008125,-8.124113e-05
479,0.18,0.18005274,-5.273521e-05
480,0.18,0.18005396,-5.3957105e-05
481,0.18,0.18008913,-8.9123845e-05
482,0.18,0.18005443,-5.441904e-05
483,0.18,0.18002552,-2.5510788e-05
484,0.18,0.1800189,-1.8894672e-05
485,0.18,0.18002534,-2.5331974e-05
486,0.18,0.1800343,-3.4287572e-05
487,0.18,0.18004178,-4.1767955e-05
488,0.18,0.18004535,-4.5344234e-05
489,0.18,0.18004534,-4.5329332e-05
490,0.18,0.18007837,-7.836521e-05
491,0.18,0.1800576,-5.7592988e-05
492,0.18,0.18005961,-5.9604645e-05
493,0.18,0.18007138,-7.137656e-05
494,0.18,0.18007578,-7.5772405e-05
495,0.18,0.18004833,-4.8324466e-05
496,0.18,0.17998327,1.6734004e-05
497,0.18,0.17994691,5.3092837e-05
498,0.18,0.17983316,0.0001668483
499,0.18,0.17989138,0.000108629465
500,0.18,0.17990607,9.393692e-05
501,0.18,0.17996152,3.84897e-05
502,0.18,0.17994404,5.596876e-05
503,0.18,0.17980032,0.00019969046
504,0.18,0.17977706,0.00022295117
505,0.18,0.17977169,0.00022831559
506,0.18,0.17977434,0.00022566319
507,0.18,0.17983018,0.00016982853
508,0.18,0.17990777,9.223819e-05
509,0.18,0.1799705,2.95043e-05
510,0.18,0.1801103,-0.000110298395
511,0.18,0.18116944,-0.0011694282
512,0.19,0.18733051,0.0026694834
513,0.19,0.18991612,8.3878636e-05
514,0.19,0.19025196,-0.00025196373
515,0.19,0.19020061,-0.00020061433
516,0.19,0.19008602,-8.60244e-05
517,0.19,0.1899065,9.350479e-05
518,0.19,0.18994996,5.00381e-05
519,0.19,0.18998007,1.9922853e-05
520,0.19,0.19010092,-0.000100925565
521,0.19,0.19014134,-0.00014133751
522,0.19,0.19016108,-0.00016108155
523,0.19,0.19010642,-0.00010642409
524,0.19,0.19001137,-1.1369586e-05
