Time Step,True pos_x,Predicted pos_x,Error
75,0.19886538,0.1937397,0.0051256865
76,0.20100176,0.1997305,0.0012712628
77,0.2039879,0.20176773,0.0022201687
78,0.20678844,0.20465332,0.0021351129
79,0.20924291,0.20738022,0.0018626899
80,0.21218903,0.20981082,0.0023782104
81,0.21411708,0.21275327,0.0013638139
82,0.2179679,0.21468768,0.0032802224
83,0.21997227,0.21854682,0.0014254451
84,0.22314645,0.22056983,0.0025766194
85,0.2260544,0.22377196,0.0022824407
86,0.22899789,0.22673038,0.0022675097
87,0.23118135,0.22971405,0.0014673024
88,0.23406702,0.2319451,0.0021219254
89,0.2356087,0.23485458,0.00075411797
90,0.2381248,0.2364074,0.0017174035
91,0.24023038,0.23893487,0.001295507
92,0.24200967,0.24105176,0.00095790625
93,0.2438702,0.24285667,0.0010135323
94,0.245949,0.24475083,0.0011981726
95,0.24818417,0.24686693,0.0013172477
96,0.24939705,0.24913424,0.00026281178
97,0.25091022,0.25037333,0.00053688884
98,0.25302044,0.25191545,0.0011049807
99,0.25530583,0.25406066,0.0012451708
100,0.25704065,0.2563702,0.00067046285
101,0.2578016,0.25812814,-0.00032654405
102,0.25887626,0.2588707,5.5730343e-06
103,0.2598906,0.2598101,8.049607e-05
104,0.260775,0.25959325,0.0011817515
105,0.26140535,0.2577119,0.0036934614
106,0.26246786,0.2623237,0.00014415383
107,0.2629282,0.26407278,-0.001144588
108,0.2631826,0.2642275,-0.0010448992
109,0.26401448,0.26450926,-0.00049477816
110,0.26471975,0.2654873,-0.0007675588
111,0.26513016,0.26643598,-0.0013058186
112,0.2655826,0.26733088,-0.0017482936
113,0.26645193,0.26820022,-0.0017482936
114,0.26708204,0.2692495,-0.0021674633
115,0.26759014,0.26996154,-0.0023714006
116,0.26841602,0.270564,-0.0021479726
117,0.26928338,0.27148318,-0.0021997988
118,0.27063715,0.27241006,-0.0017729104
119,0.27112722,0.27375853,-0.0026313066
120,0.27195403,0.27412155,-0.002167523
121,0.27277702,0.27469188,-0.0019148588
122,0.27276763,0.2751657,-0.0023980737
123,0.27423432,0.27482328,-0.0005889535
124,0.2748108,0.27607474,-0.0012639463
125,0.2753775,0.27644286,-0.0010653436
126,0.2766114,0.27672258,-0.000111192465
127,0.27685374,0.2776774,-0.0008236468
128,0.27727315,0.27768838,-0.00041523576
129,0.2777164,0.27792472,-0.00020831823
130,0.27854505,0.27824223,0.0003028214
131,0.2788343,0.27897894,-0.00014463067
132,0.28014523,0.2791829,0.000962317
133,0.28040683,0.28045085,-4.401803e-05
134,0.2813805,0.28069666,0.0006838441
135,0.28084034,0.28167227,-0.00083193183
136,0.28123963,0.2811397,9.992719e-05
137,0.2813218,0.2815452,-0.00022339821
138,0.28168637,0.28165874,2.7626753e-05
139,0.28163004,0.2820809,-0.00045084953
140,0.28239283,0.2821115,0.00028133392
141,0.2817819,0.2830029,-0.0012210011
142,0.2821989,0.28256464,-0.0003657341
143,0.28208914,0.28316647,-0.0010773242
144,0.28204754,0.28327078,-0.0012232363
