Time Step,True pos_z,Predicted pos_z,Error
290,2.587087,2.6147087,-0.027621746
291,2.55427,2.5490787,0.005191326
292,2.5215597,2.517242,0.0043177605
293,2.489117,2.4856277,0.003489256
294,2.4575894,2.4543748,0.0032145977
295,2.4266443,2.4241855,0.0024588108
296,2.3964608,2.3947089,0.0017518997
297,2.367189,2.3661032,0.0010857582
298,2.3344939,2.3385274,-0.0040335655
299,2.2813199,2.307649,-0.02632904
300,2.2358508,2.2565122,-0.020661354
301,2.2121432,2.2133348,-0.0011916161
302,2.1895275,2.192049,-0.002521515
303,2.164741,2.1713939,-0.006652832
304,2.1481962,2.144474,0.0037221909
305,2.120284,2.1197438,0.0005402565
306,2.11156,2.10447,0.0070900917
307,2.0948482,2.102481,-0.0076327324
308,2.0783803,2.0867279,-0.008347511
309,2.0622041,2.0664551,-0.0042510033
310,2.0435576,2.0454378,-0.0018801689
311,2.027488,2.0226517,0.004836321
312,2.0138302,2.0044425,0.009387732
313,1.9945872,1.9890872,0.005499959
314,1.9772745,1.9684653,0.008809209
315,1.9409815,1.9502531,-0.009271622
316,1.92149,1.9133503,0.00813961
317,1.901167,1.8933088,0.007858276
318,1.8799633,1.8723104,0.0076528788
319,1.8576812,1.8500615,0.0076196194
320,1.8105237,1.8262218,-0.015698075
321,1.7855818,1.7769397,0.008642077
322,1.7592132,1.7494643,0.009748936
323,1.7327367,1.7205327,0.012204051
324,1.7049594,1.6918663,0.013093114
325,1.6468855,1.6619879,-0.0151023865
326,1.616876,1.6017383,0.015137672
327,1.5859181,1.5697904,0.016127706
328,1.5495639,1.5372553,0.012308598
329,1.5231274,1.499659,0.023468494
330,1.490437,1.4723787,0.0180583
331,1.4571905,1.4391738,0.018016696
332,1.4235976,1.4056765,0.01792109
333,1.3899409,1.3720287,0.01791215
334,1.3502661,1.3384539,0.01181221
335,1.2872651,1.298921,-0.011655927
336,1.2527273,1.236066,0.016661286
337,1.2182635,1.201812,0.016451478
338,1.1837881,1.1677333,0.01605475
339,1.1499554,1.1337364,0.01621902
340,1.1161457,1.1004956,0.015650153
341,1.0713222,1.0674881,0.0038341284
342,1.0063431,1.0236367,-0.017293572
343,0.9849736,0.9598037,0.025169909
344,0.9537868,0.93995184,0.013834953
345,0.92311794,0.91070074,0.012417197
346,0.8932081,0.8822428,0.010965288
347,0.8639893,0.8547761,0.009213209
348,0.83600235,0.82800305,0.007999301
349,0.80442184,0.80251795,0.0019038916
350,0.7581129,0.7736695,-0.015556574
351,0.7343628,0.73097134,0.0033914447
352,0.71189547,0.71070087,0.0011945963
353,0.6907683,0.6939801,-0.0032117963
354,0.48560172,2.9064133,-2.4208117
355,0.48568815,0.46716282,0.018525332
356,0.48684767,0.47674367,0.010104001
357,0.48898306,0.49309647,-0.004113406
358,0.4903504,0.5046054,-0.014255017
359,0.49268118,0.5043113,-0.011630148
360,0.49579546,0.50462955,-0.008834094
361,0.5002212,0.5068115,-0.0065903068
362,0.50620764,0.51111513,-0.004907489
363,0.51347,0.5197699,-0.006299913
364,0.525835,0.5299665,-0.004131496
365,0.5445594,0.54435796,0.0002014637
366,0.5600136,0.56459033,-0.0045767426
367,0.575016,0.5815369,-0.0065208673
368,0.5914587,0.5982477,-0.0067890286
369,0.6091459,0.6168252,-0.007679343
370,0.6248589,0.63654083,-0.011681914
371,0.64830184,0.6544183,-0.00611645
372,0.67017287,0.68027997,-0.0101071
373,0.6932935,0.7044867,-0.011193216
374,0.71749353,0.7304031,-0.012909591
375,0.7741703,0.7564514,0.017718852
376,0.7973046,0.8146444,-0.017339826
377,0.8252981,0.8386345,-0.01333642
378,0.85440487,0.8671515,-0.012746632
379,0.884396,0.8969997,-0.0126037
