Time_Step,dt_seconds,Throttle_Control,Steering_Control,True_Abs_pos_x,Pred_Abs_pos_x,True_Delta_pos_x,Pred_Delta_pos_x,Abs_Error_pos_x,True_Abs_pos_y,Pred_Abs_pos_y,True_Delta_pos_y,Pred_Delta_pos_y,Abs_Error_pos_y,True_Abs_pos_z,Pred_Abs_pos_z,True_Delta_pos_z,Pred_Delta_pos_z,Abs_Error_pos_z,True_Abs_rot_0,Pred_Abs_rot_0,True_Delta_rot_0,Pred_Delta_rot_0,Abs_Error_rot_0,True_Abs_rot_1,Pred_Abs_rot_1,True_Delta_rot_1,Pred_Delta_rot_1,Abs_Error_rot_1,True_Abs_rot_2,Pred_Abs_rot_2,True_Delta_rot_2,Pred_Delta_rot_2,Abs_Error_rot_2,True_Abs_rot_3,Pred_Abs_rot_3,True_Delta_rot_3,Pred_Delta_rot_3,Abs_Error_rot_3
30,0.04,-0.07,0.24,1.27,1.2711711,-0.01999998,-0.018828822,0.0011711121,0.19,0.18996832,0.0,-3.167669e-05,3.167987e-05,2.26,2.2658374,0.00999999,0.015837356,0.0058374405,-0.01,-0.010306293,0.0,-0.00030629366,0.00030629337,-0.86,-0.8653216,0.0,-0.0053215623,0.0053215623,0.01,0.010639553,0.0,0.0006395535,0.0006395532,0.51,0.5000271,0.0,-0.009972844,0.00997287
31,0.04,-0.07,0.24,1.26,1.2511243,-0.00999999,-0.018875735,0.008875728,0.19,0.18996517,0.0,-3.481685e-05,3.4824014e-05,2.27,2.2755575,0.00999999,0.015557551,0.005557537,-0.01,-0.010165375,0.0,-0.00016537539,0.00016537495,-0.87,-0.8652154,-0.00999999,-0.005215436,0.004784584,0.01,0.01065685,0.0,0.00065685075,0.00065685064,0.5,0.5000155,-0.00999999,-0.009984479,1.5497208e-05
32,0.04,-0.07,0.24,1.23,1.2411058,-0.029999971,-0.01889424,0.011105776,0.19,0.18996495,0.0,-3.504038e-05,3.504753e-05,2.29,2.2853382,0.01999998,0.015338227,0.0046617985,-0.01,-0.010158643,0.0,-0.00015864348,0.00015864335,-0.87,-0.8751391,0.0,-0.005139137,0.0051391125,0.01,0.010613655,0.0,0.000613655,0.00061365496,0.49,0.48993757,-0.00999999,-0.010062424,6.2435865e-05
33,0.04,-0.07,0.24,1.21,1.2109481,-0.01999998,-0.019051941,0.0009480715,0.19,0.18996836,0.0,-3.1636457e-05,3.1635165e-05,2.3,2.30512,0.00999999,0.015119933,0.005120039,-0.01,-0.010105017,0.0,-0.00010501695,0.000105016865,-0.88,-0.875081,-0.00999999,-0.0050809802,0.0049189925,0.01,0.010669827,0.0,0.0006698275,0.0006698277,0.48,0.47977614,-0.01000002,-0.0102238655,0.00022384524
34,0.04,-0.07,0.24,1.2,1.1908393,-0.00999999,-0.019160734,0.009160757,0.19,0.18996796,0.0,-3.203995e-05,3.2037497e-05,2.31,2.314746,0.00999999,0.014745874,0.0047459602,-0.01,-0.010063309,0.0,-6.3309664e-05,6.3309446e-05,-0.88,-0.88498956,0.0,-0.0049895807,0.0049895644,0.01,0.0106153255,0.0,0.00061532616,0.00061532576,0.47,0.46968076,-0.00999999,-0.010319234,0.00031924248
35,0.04,-0.07,0.24,1.18,1.1807736,-0.0200001,-0.019226465,0.0007736683,0.19,0.18997031,0.0,-2.9685523e-05,2.9683113e-05,2.33,2.324342,0.01999998,0.014341981,0.0056579113,-0.01,-0.010055887,0.0,-5.5886656e-05,5.5886805e-05,-0.89,-0.8848971,-0.00999999,-0.0048971423,0.005102873,0.01,0.010531325,0.0,0.00053132477,0.0005313251,0.46,0.45959088,-0.00999999,-0.010409107,0.00040912628
36,0.04,-0.07,0.24,1.17,1.1606244,-0.00999999,-0.019375557,0.009375572,0.19,0.18997626,0.0,-2.3733992e-05,2.373755e-05,2.34,2.343975,0.00999999,0.013975199,0.003975153,-0.01,-0.010002884,0.0,-2.8847433e-06,2.884306e-06,-0.89,-0.89480317,0.0,-0.004803206,0.0048031807,0.01,0.010525633,0.0,0.00052563334,0.0005256329,0.45,0.4494627,-0.01000002,-0.01053731,0.00053727627
37,0.04,-0.07,0.24,1.15,1.1505508,-0.01999998,-0.019449102,0.0005508661,0.19,0.18997602,0.0,-2.3973635e-05,2.3975968e-05,2.35,2.3535466,0.00999999,0.013546759,0.0035467148,-0.01,-0.009939028,0.0,6.0971593e-05,6.0971826e-05,-0.9,-0.8946984,-0.00999999,-0.0046984213,0.0053015947,0.01,0.010395408,0.0,0.00039540773,0.0003954079,0.44,0.43941215,-0.00999999,-0.01058783,0.0005878508
38,0.04,-0.07,0.24,1.14,1.1304611,-0.00999999,-0.019538933,0.009538889,0.19,0.1899803,0.0,-1.9702456e-05,1.9699335e-05,2.36,2.363148,0.00999999,0.013147953,0.003148079,-0.01,-0.009884578,0.0,0.00011542143,0.0001154216,-0.9,-0.9045974,0.0,-0.0045974515,0.0045974255,0.01,0.010358893,0.0,0.0003588935,0.00035889354,0.44,0.42932758,0.0,-0.0106724305,0.01067242
39,0.04,-0.07,0.24,1.12,1.120402,-0.01999998,-0.019598003,0.00040197372,0.19,0.18998024,0.0,-1.9759027e-05,1.975894e-05,2.36,2.3727865,0.0,0.012786613,0.012786627,-0.01,-0.009788272,0.0,0.00021172746,0.0002117278,-0.9,-0.9045012,0.0,-0.004501234,0.0045012236,0.01,0.010331282,0.0,0.0003312822,0.00033128262,0.43,0.4292607,-0.00999999,-0.010739283,0.0007393062
40,0.04,-0.07,0.24,1.1,1.1003541,-0.01999998,-0.019645918,0.0003540516,0.19,0.18998188,0.0,-1.8120074e-05,1.8119812e-05,2.37,2.3724415,0.00999999,0.012441738,0.0024416447,-0.01,-0.009764944,0.0,0.00023505597,0.00023505557,-0.91,-0.9044116,-0.01000005,-0.00441164,0.0055884123,0.01,0.010269395,0.0,0.00026939512,0.0002693953,0.42,0.41920233,-0.01000002,-0.010797666,0.00079765916
41,0.04,-0.07,0.24,1.08,1.0802541,-0.01999998,-0.019745888,0.000254035,0.19,0.18998405,0.0,-1.594792e-05,1.5944242e-05,2.39,2.38212,0.02000022,0.01212012,0.007880211,-0.01,-0.009709443,0.0,0.00029055713,0.0002905568,-0.91,-0.9143217,0.0,-0.004321723,0.0043216944,0.01,0.010253711,0.0,0.0002537108,0.0002537109,0.41,0.40910786,-0.00999999,-0.010892127,0.0008921325
42,0.04,-0.07,0.24,1.04,1.0601186,-0.04000008,-0.019881513,0.020118594,0.19,0.18998368,0.0,-1.6323986e-05,1.6316772e-05,2.41,2.4017513,0.01999998,0.0117511405,0.008248806,-0.01,-0.009647258,0.0,0.00035274177,0.00035274215,-0.92,-0.9142188,-0.00999999,-0.004218751,0.0057812333,0.01,0.010206853,0.0,0.00020685326,0.00020685326,0.39,0.39901614,-0.02000001,-0.010983868,0.009016156
43,0.04,-0.07,0.24,1.02,1.0199404,-0.01999998,-0.020059532,5.9604645e-05,0.19,0.18998483,0.0,-1.517024e-05,1.5169382e-05,2.41,2.4213266,0.0,0.01132657,0.011326551,-0.01,-0.0096635735,0.0,0.0003364265,0.0003364263,-0.93,-0.92408437,-0.00999999,-0.0040843505,0.005915642,0.01,0.0102044605,0.0,0.00020446088,0.0002044607,0.38,0.37890968,-0.00999999,-0.011090309,0.001090318
44,0.04,-0.07,0.24,1.0,0.999863,-0.01999998,-0.02013697,0.00013697147,0.19,0.18997782,0.0,-2.2175507e-05,2.2172928e-05,2.42,2.420813,0.00999999,0.01081297,0.00081300735,-0.01,-0.009665527,0.0,0.00033447234,0.0003344724,-0.93,-0.9339526,0.0,-0.003952616,0.0039526224,0.01,0.010127595,0.0,0.00012759473,0.00012759492,0.37,0.36884084,-0.00999999,-0.011159159,0.0011591613
45,0.04,-0.07,0.24,0.98,0.9797397,-0.01999998,-0.020260261,0.00026029348,0.19,0.1899828,0.0,-1.7201153e-05,1.719594e-05,2.43,2.4303007,0.00999999,0.010300608,0.00030064583,-0.01,-0.009676025,0.0,0.00032397435,0.00032397453,-0.93,-0.9338104,0.0,-0.0038104018,0.0038104057,0.01,0.01008539,0.0,8.539034e-05,8.539017e-05,0.36,0.35873103,-0.00999999,-0.011268962,0.0012689829
46,0.04,-0.07,0.24,0.95,0.95957303,-0.030000031,-0.020426992,0.009573042,0.19,0.18998286,0.0,-1.71395e-05,1.7136335e-05,2.44,2.4397948,0.00999999,0.00979462,0.0002052784,-0.01,-0.009614046,0.0,0.00038595422,0.00038595404,-0.94,-0.9336618,-0.00999999,-0.0036618018,0.006338179,0.01,0.010022284,0.0,2.228489e-05,2.2284687e-05,0.35,0.3486254,-0.01000002,-0.011374621,0.0013746023
47,0.04,-0.07,0.24,0.93,0.92941636,-0.01999998,-0.020583611,0.0005836487,0.19,0.1899846,0.0,-1.539209e-05,1.53929e-05,2.45,2.4492557,0.00999999,0.009255631,0.0007443428,-0.01,-0.009561958,0.0,0.00043804228,0.00043804199,-0.94,-0.9434996,0.0,-0.0034996418,0.003499627,0.01,0.00998484,0.0,-1.516036e-05,1.5160069e-05,0.34,0.33854896,-0.00999999,-0.011451023,0.0014510453
48,0.04,-0.07,0.24,0.91,0.90933174,-0.01999998,-0.020668296,0.0006682873,0.19,0.18998165,0.0,-1.8338167e-05,1.834333e-05,2.45,2.4587483,0.0,0.0087482855,0.008748293,-0.01,-0.009559745,0.0,0.00044025484,0.0004402548,-0.95,-0.94335026,-0.00999999,-0.0033502413,0.0066497326,0.01,0.009905666,0.0,-9.433353e-05,9.433366e-05,0.33,0.32848305,-0.00999999,-0.011516966,0.001516968
49,0.04,-0.07,0.24,0.89,0.88929754,-0.02000004,-0.02070249,0.00070244074,0.19,0.18998311,0.0,-1.6879829e-05,1.6883016e-05,2.46,2.4582515,0.00999999,0.008251332,0.0017485619,-0.01,-0.009577145,0.0,0.00042285494,0.0004228549,-0.95,-0.9532038,0.0,-0.0032037867,0.0032038093,0.01,0.00982581,0.0,-0.00017419017,0.00017418992,0.31,0.31840566,-0.02000001,-0.011594362,0.008405656
50,0.04,-0.07,0.24,0.87,0.86922914,-0.01999998,-0.020770852,0.00077086687,0.19,0.18998685,0.0,-1.3138621e-05,1.3142824e-05,2.47,2.4677622,0.00999999,0.0077622593,0.0022377968,-0.01,-0.009599913,0.0,0.00040008666,0.00040008686,-0.95,-0.9530527,0.0,-0.0030527345,0.0030527115,0.01,0.009691716,0.0,-0.00030828378,0.0003082836,0.3,0.29830217,-0.00999999,-0.011697827,0.0016978383
51,0.04,-0.07,0.24,0.85,0.84914833,-0.01999998,-0.020851674,0.00085169077,0.19,0.18998711,0.0,-1.2896818e-05,1.2889504e-05,2.47,2.4772136,0.0,0.0072137015,0.0072135925,-0.01,-0.009475766,0.0,0.0005242341,0.000524234,-0.95,-0.9528999,0.0,-0.00289989,0.0028998852,0.01,0.009602599,0.0,-0.00039740096,0.00039740093,0.3,0.2882146,0.0,-0.011785428,0.011785418
52,0.04,-0.07,0.24,0.83,0.82913095,-0.02000004,-0.020869095,0.0008690357,0.19,0.18998389,0.0,-1.6107988e-05,1.6108155e-05,2.47,2.4766884,0.0,0.0066882577,0.0066883564,-0.01,-0.009409628,0.0,0.00059037184,0.0005903719,-0.96,-0.95272297,-0.00999999,-0.0027229607,0.007277012,0.01,0.009593572,0.0,-0.00040642868,0.00040642824,0.29,0.288172,-0.01000002,-0.011827991,0.001827985
