Time Step,True pos_z,Predicted pos_z,Error
236,2.9969656,3.0139549,-0.016989231
237,3.0182784,3.0781772,-0.059898853
238,3.480971,3.1118104,0.36916065
239,3.4808614,3.4995375,-0.018676043
240,3.479204,3.4930892,-0.01388526
241,3.4778025,3.4896567,-0.011854172
242,3.475407,3.4838748,-0.008467913
243,3.4734323,3.4769974,-0.003565073
244,3.4657686,3.469844,-0.004075527
245,3.4611776,3.456731,0.0044465065
246,3.4532547,3.4472203,0.0060343742
247,3.4451954,3.4354653,0.009730101
248,3.4339025,3.4246264,0.009276152
249,3.4124327,3.4117413,0.0006914139
250,3.3992114,3.388944,0.010267496
251,3.3846006,3.3741128,0.010487795
252,3.3684711,3.3579478,0.010523319
253,3.3511047,3.340451,0.010653734
254,3.311969,3.3219082,-0.009939194
255,3.2906747,3.2817519,0.008922815
256,3.2681777,3.2595282,0.008649588
257,3.244535,3.2362404,0.008294582
258,3.2198198,3.211872,0.007947683
259,3.1670678,3.1865182,-0.019450426
260,3.1393685,3.1333437,0.0060248375
261,3.1105962,3.1053848,0.0052113533
262,3.0815587,3.0763557,0.0052030087
263,3.0514576,3.0472882,0.004169464
264,2.9890895,3.017344,-0.028254509
265,2.9569874,2.9548635,0.0021238327
266,2.924255,2.9225624,0.0016925335
267,2.8910868,2.8898234,0.00126338
268,2.857687,2.85668,0.0010070801
269,2.7899942,2.823523,-0.033528805
270,2.7561224,2.7559803,0.00014209747
271,2.7161653,2.7221482,-0.005982876
272,2.6874123,2.6822946,0.005117655
273,2.6535816,2.6538148,-0.00023317337
274,2.587087,2.6205192,-0.033432245
275,2.55427,2.5546718,-0.0004017353
276,2.5215597,2.5224977,-0.0009379387
277,2.489117,2.4905074,-0.0013904572
278,2.4575894,2.4589038,-0.0013144016
279,2.4266443,2.4284804,-0.0018360615
280,2.3964608,2.3986228,-0.0021619797
281,2.367189,2.369677,-0.0024881363
282,2.3344939,2.342231,-0.0077371597
283,2.2813199,2.3117096,-0.030389786
284,2.2358508,2.26117,-0.0253191
285,2.2121432,2.2186277,-0.0064845085
286,2.1895275,2.1977954,-0.0082678795
287,2.164741,2.1782992,-0.013558149
288,2.1481962,2.1544988,-0.006302595
289,2.120284,2.14283,-0.022545815
290,2.11156,2.1193883,-0.007828236
291,2.0948482,2.1112616,-0.01641345
292,2.0783803,2.0926292,-0.014248848
293,2.0622041,2.0731463,-0.010942221
294,2.0435576,2.0538082,-0.010250568
295,2.027488,2.0321157,-0.0046277046
296,2.0138302,2.0132847,0.0005455017
297,1.9945872,1.9972831,-0.002695918
298,1.9772745,1.9761553,0.001119256
299,1.9409815,1.9570788,-0.016097307
300,1.92149,1.918059,0.0034309626
301,1.901167,1.8953618,0.005805254
302,1.8799633,1.8721714,0.007791877
303,1.8576812,1.8483267,0.009354472
304,1.8105237,1.8236789,-0.013155103
305,1.7855818,1.7745764,0.011005402
306,1.7592132,1.7483526,0.010860562
307,1.7327367,1.7205665,0.012170196
308,1.7049594,1.6931435,0.011815906
309,1.6468855,1.6642245,-0.017338991
310,1.616876,1.6049365,0.011939526
311,1.5859181,1.574231,0.01168704
312,1.5495639,1.542823,0.0067409277
313,1.5231274,1.5063223,0.016805172
314,1.490437,1.4797646,0.01067245
315,1.4571905,1.4469697,0.010220766
316,1.4235976,1.4140596,0.009537935
317,1.3899409,1.3809679,0.008973002
318,1.3502661,1.3484142,0.0018519163
319,1.2872651,1.3099418,-0.022676706
320,1.2527273,1.2477453,0.0049819946
