Time Step,True_rot_1_y,Predicted_rot_1_y,Absolute_Error
63,-0.950383897413018,-0.9492267295883865,0.0011571678246314887
64,-0.9376898115007734,-0.9461835925370601,0.00849378103628673
65,-0.931754763955392,-0.9328383654945052,0.0010836015391131326
66,-0.9267789071116672,-0.9260771281971601,0.0007017789145070674
67,-0.9203199593313194,-0.9200311786919132,0.00028878063940618315
68,-0.9135025000929153,-0.9126792752575357,0.0008232248353796656
69,-0.9085217916875288,-0.9057560686975348,0.0027657229899940017
70,-0.8913162061045824,-0.9014551774481101,0.010138971343527703
71,-0.8889163946382295,-0.8843063960880304,0.004609998550199057
72,-0.8810254164474158,-0.8823356360590443,0.0013102196116284714
73,-0.8705627981098037,-0.8748808317541271,0.004318033644323371
74,-0.8683688646504062,-0.8646646407088552,0.0037042239415510103
75,-0.8600206657257159,-0.862623598725542,0.0026029329998260575
76,-0.8513254472696712,-0.85406242280702,0.0027369755373488625
77,-0.8403998787994459,-0.845028509091532,0.0046286302920861555
78,-0.8312935473368847,-0.8337452165471175,0.0024516692102328763
79,-0.8295783049801918,-0.8246860688169759,0.0048922361632158795
80,-0.8203130984437231,-0.8232558403228328,0.0029427418791097004
81,-0.8187052665359605,-0.8138839578829375,0.004821308653022993
82,-0.8094094094468137,-0.8122479657455449,0.0028385562987311985
83,-0.7999776091145003,-0.8028425685079105,0.002864959393410138
84,-0.7999776091285652,-0.7931881864716017,0.006789422656963473
85,-0.7903357528778925,-0.792944753254135,0.002609000376242565
86,-0.7805753650337602,-0.7829809044227587,0.0024055393889984567
87,-0.7707087410535431,-0.7730537908969437,0.0023450498434005596
88,-0.769807165689622,-0.7627304369027681,0.0070767287868539475
89,-0.7599704945569548,-0.7614919382196896,0.0015214436627348782
90,-0.7500802739199889,-0.7514195201767501,0.001339246256761184
91,-0.7301098286812846,-0.7414358510912246,0.011326022409939962
92,-0.7198857486236779,-0.7207075385960593,0.0008217899723813593
93,-0.7100179372885753,-0.7100596402580721,4.1702969496792974e-05
94,-0.6999609565148148,-0.7001974809583047,0.00023652444348987167
95,-0.7000589948675693,-0.6901330746217201,0.009925920245849151
96,-0.6901518731118658,-0.6902524874899185,0.00010061437805275464
97,-0.6798931248731604,-0.6805107640350825,0.0006176391619220345
98,-0.6698977014685271,-0.6715385216486627,0.0016408201801355604
99,-0.6703975766586285,-0.6610504537821843,0.009347122876444236
100,-0.6599407988063636,-0.6609709410592652,0.0010301422529016557
101,-0.650030006051816,-0.6508452632661934,0.0008152572143773629
