Time Step,True_rot_0_x,Predicted_rot_0_x,Absolute_Error
45,-0.020093826658669076,-0.020262359441752413,0.00016853278308333677
46,-0.020093826658669076,-0.020121166329615386,2.7339670946310152e-05
47,-0.019931818793702333,-0.020078619766661244,0.00014680097295891037
48,-0.01996895013211581,-0.019952311586537905,1.6638545577905145e-05
49,-0.020008004715652367,-0.02009514503438613,8.714031873376452e-05
50,-0.020048966565672132,-0.020178208628278613,0.00012924206260648066
51,-0.020091818956858392,-0.020231556240071762,0.0001397372832133703
52,-0.019941857371711568,-0.020242112902212457,0.000300255530500889
53,-0.019941857374844753,-0.02008069991012429,0.0001388425352795361
54,-0.019988989001214336,-0.020102417897760426,0.00011342889654608959
55,-0.020037982806483695,-0.02016783685813878,0.00012985405165508515
56,-0.020088816604178644,-0.020214184715643343,0.00012536811146469928
57,-0.01989558387845391,-0.020261459050427442,0.0003658751719735308
58,-0.019948881070463734,-0.020023684729903023,7.480365943928965e-05
59,-0.019948881197116845,-0.020018367857252847,6.948666013600197e-05
60,-0.020004001368472312,-0.019996202272101263,7.799096371049336e-06
61,-0.020060919098327884,-0.020027759329729975,3.3159768597908895e-05
62,-0.01992878473398165,-0.020029944268238554,0.00010115953425690258
63,-0.01998999031604218,-0.019778540080126684,0.0002114502359154974
64,-0.0200648897264005,-0.019653019796866702,0.00041186992953379936
65,-0.01994887551884282,-0.019813372858610935,0.00013550266023188567
66,-0.020096709487123075,-0.019708582016199336,0.0003881274709237395
67,-0.01999360003739699,-0.019895284515366235,9.831552203075355e-05
68,-0.019928115456853204,-0.020174464587982187,0.00024634913112898255
69,-0.020030959428283614,-0.020211871107648993,0.0001809116793653788
70,-0.019949871879770854,-0.02011330478012975,0.00016343290035889663
71,-0.020024848130913517,-0.019882657461764427,0.00014219066914909068
72,-0.01997548126925983,-0.02004626759580945,7.078632654962044e-05
73,-0.019985705575965993,-0.02005751964737952,7.181407141352777e-05
74,-0.020041982161131334,-0.02013088684180554,8.890468067420526e-05
75,-0.00999993807623791,-0.020178580680288973,0.010178642604051063
76,-0.00999632656439737,-0.010148871895374688,0.0001525453309773172
77,-0.019987476484562255,-0.010083036084596004,0.009904440399966252
78,-0.019956317110405096,-0.01994419227003536,1.212484036973438e-05
79,-0.01000098871706736,-0.019908745969774662,0.009907757252707303
80,-0.019988323195264335,-0.010150004990546847,0.009838318204717488
81,-0.020049021509785173,-0.02011169055171952,6.266904193434619e-05
82,-0.02002457895491599,-0.02004257969550173,1.8000740585739222e-05
83,-0.01000003941494459,-0.019888539724070495,0.009888500309125905
84,-0.01000003941503294,-0.009786521240013859,0.0002135181750190819
85,-0.019965935528171108,-0.009735576501708658,0.01023035902646245
86,-0.019965625890975683,-0.019238439964048473,0.0007271859269272103
87,-0.01995047105749552,-0.019358551096228267,0.0005919199612672531
88,-0.010000228896077193,-0.019272551595882308,0.009272322699805114
89,-0.020004998375839807,-0.009344481504238273,0.010660516871601534
90,-0.009999936294862035,-0.018944192806834168,0.008944256511972132
91,-0.009999959406285047,-0.00948620851514478,0.0005137508911402661
92,-0.010000011827639488,-0.009525861806976257,0.0004741500206632311
93,-0.010000009832661725,-0.009106458405403669,0.0008935514272580564
94,-0.010000005422844703,-0.008920439602814478,0.0010795658200302254
95,-0.02004423530814602,-0.009006609241258168,0.011037626066887851
96,-0.02004724709692164,-0.018654681666468012,0.0013925654304536295
97,-0.019978934289314392,-0.018543487398098787,0.0014354468912156047
98,-0.019984924802842224,-0.0196809150219587,0.0003040097808835254
99,-0.020059347723289614,-0.019901974587329715,0.00015737313595989844
100,-0.019992948771016393,-0.019590392756133713,0.00040255601488268025
