Time Step,True_pos_z,Predicted_pos_z,Absolute_Error
32,-1.3300000429153442,-1.333715558052063,0.00371551513671875
33,-1.350000023841858,-1.3532450199127197,0.0032449960708618164
34,-1.3700000047683716,-1.3725436925888062,0.0025436878204345703
35,-1.3899999856948853,-1.3912664651870728,0.0012664794921875
36,-1.409999966621399,-1.4092423915863037,0.0007575750350952148
37,-1.4199999570846558,-1.4277576208114624,0.007757663726806641
38,-1.4299999475479126,-1.4371899366378784,0.00718998908996582
39,-1.4500000476837158,-1.4464669227600098,0.0035331249237060547
40,-1.4600000381469727,-1.4654983282089233,0.005498290061950684
41,-1.4800000190734863,-1.4746655225753784,0.00533449649810791
42,-1.5,-1.4939149618148804,0.006085038185119629
43,-1.5199999809265137,-1.5096193552017212,0.01038062572479248
44,-1.5199999809265137,-1.5268473625183105,0.006847381591796875
45,-1.5299999713897705,-1.5265114307403564,0.0034885406494140625
46,-1.5399999618530273,-1.5366719961166382,0.00332796573638916
47,-1.5399999618530273,-1.5466585159301758,0.0066585540771484375
48,-1.5499999523162842,-1.5456985235214233,0.00430142879486084
49,-1.5499999523162842,-1.5545473098754883,0.0045473575592041016
50,-1.559999942779541,-1.553605556488037,0.006394386291503906
51,-1.559999942779541,-1.5631301403045654,0.003130197525024414
52,-1.559999942779541,-1.5629388093948364,0.00293886661529541
53,-1.5700000524520874,-1.562306523323059,0.00769352912902832
54,-1.5700000524520874,-1.5715808868408203,0.0015808343887329102
55,-1.5700000524520874,-1.5710729360580444,0.0010728836059570312
56,-1.5700000524520874,-1.57057785987854,0.0005778074264526367
57,-1.5800000429153442,-1.5699279308319092,0.010072112083435059
58,-1.5800000429153442,-1.579849362373352,0.0001506805419921875
59,-1.5800000429153442,-1.579548954963684,0.00045108795166015625
60,-1.5800000429153442,-1.5793503522872925,0.0006496906280517578
61,-1.5800000429153442,-1.5791409015655518,0.0008591413497924805
62,-1.5700000524520874,-1.5788873434066772,0.008887290954589844
63,-1.5700000524520874,-1.5687670707702637,0.0012329816818237305
64,-1.5700000524520874,-1.5683151483535767,0.0016849040985107422
65,-1.559999942779541,-1.5681421756744385,0.008142232894897461
66,-1.559999942779541,-1.5575281381607056,0.0024718046188354492
67,-1.559999942779541,-1.557150959968567,0.002848982810974121
68,-1.5499999523162842,-1.556746244430542,0.0067462921142578125
69,-1.5499999523162842,-1.5457826852798462,0.004217267036437988
70,-1.5299999713897705,-1.5444148778915405,0.01441490650177002
71,-1.5299999713897705,-1.5228087902069092,0.007191181182861328
72,-1.5199999809265137,-1.5215362310409546,0.001536250114440918
73,-1.5099999904632568,-1.510267972946167,0.00026798248291015625
74,-1.5,-1.499043345451355,0.0009566545486450195
75,-1.4900000095367432,-1.488032341003418,0.0019676685333251953
76,-1.4700000286102295,-1.4771592617034912,0.007159233093261719
77,-1.4500000476837158,-1.456720232963562,0.006720185279846191
78,-1.440000057220459,-1.4362637996673584,0.003736257553100586
79,-1.4199999570846558,-1.4254846572875977,0.0054847002029418945
80,-1.409999966621399,-1.4045008420944214,0.005499124526977539
81,-1.399999976158142,-1.393917441368103,0.0060825347900390625
82,-1.3799999952316284,-1.3834813833236694,0.0034813880920410156
83,-1.3700000047683716,-1.362982153892517,0.007017850875854492
84,-1.3600000143051147,-1.352393388748169,0.007606625556945801
85,-1.340000033378601,-1.3419109582901,0.0019109249114990234
86,-1.3200000524520874,-1.3215843439102173,0.0015842914581298828
87,-1.2999999523162842,-1.3008673191070557,0.0008673667907714844
88,-1.2799999713897705,-1.2798088788986206,0.00019109249114990234
89,-1.2699999809265137,-1.2589353322982788,0.011064648628234863
90,-1.25,-1.2481944561004639,0.0018055438995361328
91,-1.190000057220459,-1.2272076606750488,0.037207603454589844
92,-1.159999966621399,-1.1666077375411987,0.006607770919799805
93,-1.1299999952316284,-1.1367086172103882,0.006708621978759766
94,-1.1200000047683716,-1.106278419494629,0.013721585273742676
95,-1.090000033378601,-1.095445156097412,0.005445122718811035
96,-1.0700000524520874,-1.0650882720947266,0.00491178035736084
97,-1.0499999523162842,-1.0445773601531982,0.0054225921630859375
98,-1.0299999713897705,-1.0233291387557983,0.006670832633972168
99,-1.0099999904632568,-1.0034382343292236,0.006561756134033203
100,-0.9900000095367432,-0.9844737648963928,0.005526244640350342
101,-0.9700000286102295,-0.9642183780670166,0.005781650543212891
102,-0.9300000071525574,-0.9428499341011047,0.012849926948547363
