Time Step,True pos_z,Predicted pos_z,Error
275,2.36,2.367209,-0.0072090626
276,2.35,2.3470945,0.0029053688
277,2.33,2.3365576,-0.006557703
278,2.31,2.3156893,-0.0056893826
279,2.29,2.2948527,-0.0048527718
280,2.27,2.2740078,-0.0040078163
281,2.25,2.253648,-0.0036480427
282,2.24,2.2330244,0.006975651
283,2.22,2.2223022,-0.0023021698
284,2.2,2.2000191,-1.9073486e-05
285,2.18,2.181647,-0.0016469955
286,2.16,2.162229,-0.0022289753
287,2.14,2.1423733,-0.0023732185
288,2.1,2.1223567,-0.022356749
289,2.08,2.0817168,-0.0017168522
290,2.06,2.060758,-0.0007581711
291,2.04,2.040009,-9.059906e-06
292,2.02,2.0194309,0.00056910515
293,2.0,1.9989289,0.0010710955
294,1.98,1.9786675,0.0013325214
295,1.96,1.9584048,0.0015952587
296,1.92,1.93826,-0.018260002
297,1.9,1.8981866,0.0018134117
298,1.88,1.8779386,0.002061367
299,1.86,1.8578576,0.0021424294
300,1.84,1.8378292,0.0021708012
301,1.82,1.8176126,0.0023874044
302,1.81,1.7975681,0.01243186
303,1.78,1.7874942,-0.007494211
304,1.77,1.7575595,0.012440443
305,1.72,1.7474316,-0.027431607
306,1.7,1.6975939,0.0024061203
307,1.68,1.6741992,0.005800724
308,1.66,1.6610551,-0.0010551214
309,1.64,1.6364287,0.003571272
310,1.62,1.620083,-8.2969666e-05
311,1.6,1.6022974,-0.0022974014
312,1.58,1.5829039,-0.002903819
313,1.55,1.5634313,-0.013431311
314,1.52,1.5333818,-0.013381839
315,1.5,1.5029941,-0.0029940605
316,1.49,1.481746,0.008254051
317,1.46,1.4716963,-0.011696219
318,1.44,1.4416528,-0.0016527176
319,1.42,1.4213737,-0.0013737679
320,1.4,1.4010103,-0.0010102987
321,1.39,1.3805848,0.00941515
322,1.34,1.3702639,-0.0302639
323,1.32,1.3200189,-1.8835068e-05
324,1.3,1.296783,0.003216982
325,1.28,1.2803283,-0.00032830238
326,1.26,1.2598165,0.0001834631
327,1.23,1.2392474,-0.009247422
328,1.21,1.2088857,0.0011143684
329,1.18,1.1854222,-0.0054222345
